treat,hra_c_yr1,male,age50,age37_49,white,sickleave_0815_0716,sickleave_0816_0717,sickleave_0816_0119,sickdays_eligible_0815_0716,sickdays_eligible_0816_0717,sickdays_eligible_0816_0119,gym_0815_0716,gym_0816_0717,gym_0816_0119,promotion_0616_0717,promotion_0616_0119,titleChange_0616_0717,titleChange_0616_0119,salaryRaise_0616_0717,salaryRaise_0616_0119,salary_0616,terminated_0717,terminated_0119,prod_index_yr0,prod_index_yr1,prod_index_yr2
1,0,0,1,0,1,.5,3,1.82703,365,365,899,37,0,3.6,0,,,,,,,0,0,-.768181,-.7109268,
1,0,0,0,1,1,9.84375,11.25,11.79957,365,365,899,0,0,0,0,0,,,,,,0,0,-.9865256,-1.378706,-1.8166
0,,1,1,0,1,15,7,3.65406,365,365,899,16,6,10.8,0,0,,,,,,0,0,-1.894516,-1.72416,-2.125352
0,,0,0,1,1,4,0,0,365,238,238,0,0,0,,,,,,,,1,1,.6806384,,
1,1,1,0,1,1,3,2,4.26307,365,365,899,0,0,0,1,1,,,,,,0,0,1.527362,2.905767,1.940361
1,1,0,0,0,1,1.4375,.4375,.6343854,365,365,899,0,0,.4,0,1,,,,,,0,0,1.212334,,
0,,1,0,0,0,0,0,0,365,365,899,0,0,0,0,1,,,,,,0,0,1.694669,,
1,1,0,1,0,0,8.625,19.4,15.83934,365,365,899,0,0,0,0,,,,,,,0,0,-1.803537,-2.614379,
0,,0,1,0,1,0,0,0,365,365,899,0,0,44.8,0,0,,,,,,0,0,1.26004,,
1,0,0,1,0,1,0,0,0,365,365,517,1,2,1.6,0,,,,,,,0,1,.5018016,,
1,0,1,0,0,1,0,11,4.87208,365,365,899,0,0,0,0,0,,,,,,0,0,.7337325,-.9219561,-1.124215
1,1,1,0,0,0,0,0,0,365,365,899,0,0,0,0,0,,,,,,0,0,1.738013,,
1,1,0,0,1,0,13,2,4.669077,365,365,899,0,0,0,0,1,,,,,,0,0,-1.003096,-.3508627,.6446489
1,1,0,0,0,1,3,0,0,365,311,311,0,0,0,,,,,,,,1,1,-.1369375,,
0,,0,0,0,1,7.88125,11.36875,9.033648,365,365,899,0,0,0,0,0,,,,,,0,0,.8121813,-.1935324,-.3311413
0,,0,0,1,1,3.5,2,1.82703,365,365,899,0,0,0,0,1,,,,,,0,0,1.299591,.325834,1.92722
1,0,1,0,0,0,0,0,0,365,365,899,0,0,0,0,0,,,,,,0,0,1.710111,,
1,0,0,0,1,1,7.0625,4.6875,4.854825,365,365,899,0,0,0,0,0,,,,,,0,0,-.166003,.7972214,.8148605
1,1,1,1,0,0,11.5,16,10.75918,365,365,899,0,0,.4,0,0,,,,,,0,0,.5118941,.7158324,.7453875
